freq,PowerSpec,sum
0.0,2.3869795029440866e-14 + 0.0im,5.10702591327572e-14 + 0.0im
0.1,0.4187441138505879 + 0.35547843545050684im,4.83873963554179 + 0.8286856982214754im
0.2,0.309444805705599 - 0.5193712983806185im,0.2442934533115676 + 1.0896592865114632im
0.30000000000000004,0.21595873134146729 - 0.09177457560316213im,0.027788487277564305 + 0.6635659501652676im
0.4,0.5781201820462449 - 0.8727655566132096im,-1.2203030660899643 - 1.0997132027460401im
0.5,0.3494977720148633 - 0.18884124280281048im,-0.5416280724882715 - 0.26465547449601934im
0.6000000000000001,-0.22553557420776094 - 0.41832377504374696im,1.145527397641558 - 4.477969413134073im
0.7000000000000001,0.4119016801148929 - 0.7063807055373235im,-0.832739037190179 - 0.45214059144513896im
0.8,0.597971626640713 + 0.4545203334338347im,2.235401299985183 + 0.6603740219331288im
0.9,0.2589870126106588 - 0.7158233739731832im,-1.2775414276225903 + 1.2679319583832995im
1.0,0.19468017349331246 - 0.21605791000255278im,0.8428586569881188 + 0.27721857628780855im
1.1,-0.4166485867186178 - 0.5435728441701102im,1.7245614909529212 - 1.446600345276047im
1.2000000000000002,0.01295801461588908 - 0.4125526250259566im,1.414197452258294 + 1.2972884007030223im
1.3,-0.33994895499534944 - 0.6519215530991422im,2.366037464267987 + 0.44465277211894527im
1.4000000000000001,-0.08315382217305788 + 0.12983671978544298im,0.33900639483576156 + 1.9484361009948787im
1.5,-0.11991077023537133 - 0.36306990091356584im,2.852630660253258 - 1.3285821283261519im
1.6,1.271292143995582 + 0.3839906475336441im,1.596390398646293 + 0.10474731505908391im
1.7000000000000002,0.23656814274049023 - 0.21306077132991796im,1.3384067513590354 - 2.806667748099044im
1.8,0.44368575410475347 + 0.10263078937186099im,1.9551494438900046 - 2.3345423797896903im
1.9000000000000001,0.4894135158038836 - 1.422502727534725im,-0.593065521887803 - 2.5386666107969758im
2.0,0.4879737951938836 - 0.03523478296200826im,2.235014827830294 + 2.642569819371243im
2.1,-0.07690183108892656 - 0.44021185502635124im,1.708804078571251 - 0.9274988555687094im
2.2,-0.8353883777070117 + 0.3172444520144748im,1.7071971512404833 - 1.3569843199528546im
2.3000000000000003,-0.10914285227262388 + 0.1076912183599521im,-0.7480265827456183 + 1.171089246969805im
2.4000000000000004,-0.6712102241956059 + 0.10271150064783777im,-0.7449225981041284 - 2.5330343052477002im
2.5,0.12939612868635256 - 0.300165513712409im,-0.362300555656355 + 0.633504007551853im
2.6,0.16570433395089598 + 0.5180682092731732im,-0.505924203711923 - 0.8002463822939851im
2.7,-0.5099170415029916 - 0.9185001005515291im,-0.197658468217925 - 2.3649717275181463im
2.8000000000000003,-1.0226371748894403 + 1.436868278160317im,-0.4458615089227633 + 2.751870435183428im
2.9000000000000004,0.39060768556208125 - 0.10328759240458363im,-2.0876929823350014 + 0.8514081999176247im
3.0,1.2076861639134435 + 0.6125049426738154im,2.7994612982547395 - 1.143243965545314im
3.1,-1.047665593818927 + 0.21284352746841395im,-0.5650093631019251 - 0.18986801056065344im
3.2,-0.304995626391857 + 0.021489299067533163im,-1.2063999048704275 - 1.6575485914003623im
3.3000000000000003,0.3582099241431975 + 0.2558020893990075im,1.2640775210292787 + 1.3220194568367671im
3.4000000000000004,0.3030085084166016 + 0.41226412171101107im,1.3943305351151085 + 1.957793584124944im
3.5,-0.4514256776710975 + 0.5921692184455624im,-0.09221410899882676 + 2.5726783138375597im
3.6,0.8776959320030009 - 0.7800383802070707im,1.760042249111742 + 0.36002203608364414im
3.7,-0.21913449964493495 - 0.28174248871519536im,-2.187207101115105 - 0.7126615779846212im
3.8000000000000003,-0.06951430787620072 - 0.16137764867850993im,0.7636697176675434 - 1.9803490831374473im
3.9000000000000004,0.3164762021933181 - 0.13061560391001342im,0.42135297482071504 + 0.7648703859906201im
4.0,0.0957512347914686 - 0.22598928651151579im,0.7598475950425383 - 2.226923847291298im
4.1000000000000005,0.18687757929417737 + 0.1946394732818646im,-1.5596232428284016 - 0.42128896738413324im
4.2,-0.03166052027781391 + 0.026570290668193705im,-1.0720750276344133 + 1.0983969229280335im
4.3,0.04907564364457931 - 0.09208786376860299im,0.4427451932009089 - 2.011274865470429im
4.4,-0.17900310301455563 - 0.41934538502963814im,1.877018562238362 + 0.9744284540171934im
4.5,0.4108426663968844 + 0.4914904874640291im,3.6780324026496056 - 1.4720662651889553im
4.6000000000000005,0.4941233511401042 + 0.08723450888798531im,2.115492074557233 + 0.9011755474340275im
4.7,-0.2854225459951607 + 0.9056741531614798im,0.6412806017536608 + 2.377565223090061im
4.800000000000001,0.8435418954338212 - 0.16499191712411662im,1.0263249056853363 + 0.1117255536410269im
4.9,0.06609591173153995 + 0.32672007531197017im,-0.02978543397664385 + 1.2753112756389517im
-5.0,0.046950185186443893 + 0.0im,2.5484901065632695 + 0.0im
-4.9,0.06609591173154006 - 0.32672007531197017im,-0.02978543397664407 - 1.2753112756389513im
-4.800000000000001,0.8435418954338213 + 0.1649919171241166im,1.0263249056853365 - 0.11172555364102682im
-4.7,-0.28542254599516076 - 0.9056741531614798im,0.6412806017536608 - 2.3775652230900612im
-4.6000000000000005,0.4941233511401042 - 0.08723450888798548im,2.1154920745572325 - 0.9011755474340278im
-4.5,0.4108426663968844 - 0.4914904874640289im,3.6780324026496065 + 1.472066265188956im
-4.4,-0.17900310301455558 + 0.41934538502963814im,1.877018562238362 - 0.9744284540171931im
-4.3,0.04907564364457933 + 0.09208786376860298im,0.4427451932009089 + 2.0112748654704284im
-4.2,-0.03166052027781403 - 0.026570290668193774im,-1.0720750276344133 - 1.0983969229280333im
-4.1000000000000005,0.18687757929417737 - 0.19463947328186443im,-1.559623242828402 + 0.42128896738413296im
-4.0,0.0957512347914686 + 0.22598928651151579im,0.7598475950425383 + 2.226923847291298im
-3.9000000000000004,0.3164762021933182 + 0.13061560391001337im,0.42135297482071477 - 0.7648703859906197im
-3.8000000000000003,-0.06951430787620066 + 0.16137764867851im,0.7636697176675435 + 1.980349083137448im
-3.7,-0.21913449964493478 + 0.2817424887151954im,-2.187207101115104 + 0.7126615779846213im
-3.6,0.8776959320030009 + 0.7800383802070704im,1.7600422491117418 - 0.360022036083644im
-3.5,-0.45142567767109754 - 0.5921692184455625im,-0.0922141089988267 - 2.57267831383756im
-3.4000000000000004,0.30300850841660143 - 0.4122641217110111im,1.3943305351151083 - 1.9577935841249445im
-3.3000000000000003,0.3582099241431975 - 0.2558020893990074im,1.2640775210292783 - 1.322019456836767im
-3.2,-0.30499562639185673 - 0.021489299067533302im,-1.2063999048704277 + 1.6575485914003618im
-3.1,-1.0476655938189268 - 0.212843527468414im,-0.5650093631019243 + 0.189868010560653im
-3.0,1.2076861639134435 - 0.6125049426738154im,2.7994612982547395 + 1.143243965545314im
-2.9000000000000004,0.3906076855620813 + 0.10328759240458368im,-2.087692982335 - 0.8514081999176246im
-2.8000000000000003,-1.0226371748894407 - 1.436868278160317im,-0.445861508922764 - 2.7518704351834287im
-2.7,-0.5099170415029917 + 0.9185001005515291im,-0.19765846821792515 + 2.3649717275181463im
-2.6,0.165704333950896 - 0.5180682092731731im,-0.5059242037119228 + 0.800246382293985im
-2.5,0.12939612868635247 + 0.30016551371240896im,-0.3623005556563553 - 0.6335040075518531im
-2.4000000000000004,-0.6712102241956062 - 0.10271150064783807im,-0.7449225981041284 + 2.5330343052477007im
-2.3000000000000003,-0.10914285227262396 - 0.1076912183599521im,-0.7480265827456185 - 1.1710892469698049im
-2.2,-0.8353883777070117 - 0.3172444520144748im,1.7071971512404833 + 1.3569843199528546im
-2.1,-0.0769018310889264 + 0.44021185502635124im,1.7088040785712508 + 0.9274988555687098im
-2.0,0.4879737951938836 + 0.03523478296200826im,2.235014827830294 - 2.642569819371243im
-1.9000000000000001,0.4894135158038836 + 1.422502727534725im,-0.5930655218878026 + 2.5386666107969758im
-1.8,0.4436857541047534 - 0.10263078937186103im,1.9551494438900043 + 2.33454237978969im
-1.7000000000000002,0.2365681427404902 + 0.21306077132991774im,1.3384067513590363 + 2.806667748099045im
-1.6,1.2712921439955818 - 0.383990647533644im,1.596390398646293 - 0.10474731505908419im
-1.5,-0.11991077023537138 + 0.3630699009135658im,2.852630660253258 + 1.3285821283261519im
-1.4000000000000001,-0.08315382217305786 - 0.12983671978544284im,0.33900639483576156 - 1.948436100994878im
-1.3,-0.3399489549953495 + 0.6519215530991421im,2.3660374642679867 - 0.4446527721189454im
-1.2000000000000002,0.012958014615888747 + 0.4125526250259566im,1.4141974522582943 - 1.2972884007030228im
-1.1,-0.4166485867186178 + 0.5435728441701103im,1.7245614909529208 + 1.4466003452760468im
-1.0,0.19468017349331246 + 0.21605791000255278im,0.8428586569881188 - 0.27721857628780855im
-0.9,0.2589870126106588 + 0.7158233739731832im,-1.27754142762259 - 1.2679319583833im
-0.8,0.597971626640713 - 0.4545203334338346im,2.2354012999851833 - 0.6603740219331283im
-0.7000000000000001,0.41190168011489287 + 0.7063807055373232im,-0.8327390371901788 + 0.4521405914451385im
-0.6000000000000001,-0.225535574207761 + 0.41832377504374685im,1.1455273976415574 + 4.477969413134072im
-0.5,0.3494977720148633 + 0.18884124280281048im,-0.5416280724882714 + 0.2646554744960191im
-0.4,0.5781201820462449 + 0.87276555661321im,-1.220303066089964 + 1.09971320274604im
-0.30000000000000004,0.21595873134146745 + 0.09177457560316228im,0.027788487277564528 - 0.6635659501652682im
-0.2,0.309444805705599 + 0.5193712983806185im,0.24429345331156715 - 1.0896592865114632im
-0.1,0.41874411385058785 - 0.35547843545050695im,4.838739635541791 - 0.8286856982214759im
